4,0,0,1,13903,14599.3,2745,12871,18772.2,14599.3,1.28583,0.777708,1,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,1.70673,0
4,0,0,1,18834,19530.3,3096,16908,28517.5,19530.3,1.46016,0.684854,1,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,1.70673,0
4,0,0,1,24593,25289.3,3374,19384,30813.9,25289.3,1.21845,0.820712,1,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,1.70673,0
4,1,2,31,22525,44110.9,3356,20594,55057.1,46981.3,1.17189,0.801185,0.938903,0,1,0,0,0,0,0,0,0,-1,3,0,2,2,1.70673,1
4,0,0,4,22099,24884.3,3311,20029,36014.7,24188,1.48895,0.690947,1.02879,0,4,0,2,0.5,2,0.5,0,0,-1,3,1,0,0,1.32532,0
4,0,0,3,15064,17153,2863,12987,25517.8,17153,1.48766,0.672196,1,0,4,0,0,0,0,0,0,0,-1,3,0,0,0,1.32532,0
4,0,0,4,50656,53441.3,4409,37961,65975,52745,1.25083,0.810023,1.0132,0,2,0,2,0.5,2,0.5,0,0,-1,3,1,1,2,1.32532,0
4,1,2,9,21324,27590.9,3984,31358,46997.4,36185.3,1.2988,0.587072,0.762488,0,1,0,2,0.5,2,0.5,0,0,-1,3,1,0,0,1.32532,0
4,0,0,1,24176,24872.3,3076,16244,31117.5,24872.3,1.25109,0.799303,1,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,0.752688,0
4,0,0,1,25390,26086.3,3238,17046,32292.2,26086.3,1.2379,0.807821,1,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,0.752688,0
4,0,0,4,41310,44095.3,4140,32964,51754.8,43399,1.19254,0.852004,1.01604,0,1,0,1,0.790569,1,0.790569,0,0,-1,3,2,1,1,0.752688,0
4,0,0,1,24583,25279.3,3356,21110,34535.5,24583,1.40485,0.73198,1.02833,0,1,0,1,0.790569,1,0.790569,0,0,-1,3,2,1,1,0.752688,0
4,0,0,1,24374,25070.3,3078,16068,30437.9,24374,1.24878,0.823655,1.02857,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,0.912281,0
4,0,0,1,31396,32092.3,3407,21447,58587.9,31396,1.86609,0.547764,1.02218,0,2,0,0,0,0,0,0,0,-1,3,0,1,1,0.912281,0
4,0,0,0,42222,42222,4484,33564,49178.9,42222,1.16477,0.858539,1,0,2,0,0,0,0,0,0,0,-1,3,0,0,0,1.68007,0
4,1,2,12,80275,88630.8,5095,58395,123746,118086,1.04794,0.716232,0.750564,0,2,0,0,0,0,0,0,0,-1,3,0,2,4,1.68007,1
4,0,0,1,32134,32830.3,4189,27635,42366.8,32830.3,1.29048,0.774907,1,0,2,0,0,0,0,0,0,0,-1,3,0,1,1,1.68007,0
4,0,0,4,38358,41143.3,3950,30800,54276,40447,1.34191,0.758038,1.01722,0,2,0,2,0.5,2,0.5,0,0,-1,3,1,2,4,1.68007,0
4,0,0,2,37501,38893.6,3710,23366,47854.1,38197.3,1.25281,0.812755,1.01823,0,2,0,2,0.5,2,0.5,0,0,-1,3,1,0,2,1.30301,0
4,1,2,9,15886,22152.9,3546,24828,42510.4,28339.3,1.50005,0.521117,0.781701,0,2,0,2,0.5,2,0.5,0,0,-1,3,1,0,0,1.30301,0
4,0,0,3,58904,60993,4977,49783,73356.4,60993,1.2027,0.83146,1,0,2,0,2,0.901388,2,0.901388,0,0,-1,3,2,1,2,1.30301,0
4,1,2,12,42055,50410.8,4906,46206,70889.6,64747.3,1.09487,0.711117,0.778578,0,2,0,2.82843,0.25,2.82843,0.25,0,0,-1,3,2,2,2,1.30301,0
4,0,0,3,85295,87384,5744,70672,96436.1,87384,1.10359,0.906133,1,0,6,0,1,0.790569,1,0.790569,0,0,-1,3,2,2,2,0.92451,0
4,0,0,1,47154,47850.3,4061,38699,57598.8,47850.3,1.20373,0.830752,1,0,2,0,1,0.790569,1,0.790569,0,0,-1,3,2,1,1,0.92451,0
4,1,6,27,128827,147628,8676,177378,227223,238184,0.953982,0.649703,0.619805,0,6,0,1.41421,0.901388,1.41421,0.901388,0,0,-1,3,2,2,2,0.92451,0
4,1,1,20,113017,126943,6979,112643,141621,129182,1.09629,0.896359,0.982669,0,3,0,0,0.790569,0,0.790569,0,0,-1,3,2,1,1,0.92451,0
4,1,7,27,31699,50499.6,3817,28927,51105,64490.2,0.792446,0.988155,0.783059,0,2,0,0,0,0,0,0,0,-1,3,0,0,0,0.754545,0
4,1,1,9,32291,38557.9,4135,38399,46637.8,41775,1.1164,0.826752,0.92299,0,1,0,4,0.25,4,0.25,0,0,-1,3,2,1,1,0.754545,1
4,0,0,1,31482,32178.3,3621,21203,41787.8,32178.3,1.29863,0.770041,1,0,4,0,0,0,0,0,0,0,-1,3,0,0,0,1.61744,0
4,0,0,4,75414,78199.3,5273,68961,90360.6,77503,1.1659,0.865413,1.00898,0,2,0,2,0.5,2,0.5,0,0,-1,3,1,2,2,1.61744,1
4,0,0,1,48995,49691.3,4484,32836,59969.1,49691.3,1.20683,0.828615,1,0,2,0,0,0,0,0,0,0,-1,3,0,0,0,1.61744,0
4,0,0,1,53028,53724.3,3891,33917,58431.1,53028,1.10189,0.919448,1.01313,0,2,0,0,0,0,0,0,0,-1,3,0,2,4,1.61744,1
4,1,5,18,41343,53876.8,4247,31191,60056.3,69140.3,0.868615,0.897105,0.779238,0,9,0,2,1.06066,2,1.06066,0,0,-1,3,2,2,3,1.44158,1
